iter	Passed	Remaining
733	17785	6445
734	17810	6421
735	17834	6397
736	17859	6373
737	17883	6349
738	17908	6324
739	17929	6299
740	17953	6275
741	17977	6250
742	18000	6226
743	18023	6201
744	18050	6178
745	18072	6153
746	18095	6128
747	18118	6104
748	18143	6080
749	18166	6055
750	18187	6030
751	18212	6006
752	18239	5982
753	18268	5960
754	18294	5936
755	18321	5913
756	18352	5891
757	18379	5867
758	18401	5842
759	18423	5818
760	18447	5793
761	18471	5769
762	18493	5744
763	18516	5719
764	18541	5695
765	18564	5671
766	18588	5646
767	18611	5622
768	18634	5597
769	18657	5572
770	18680	5548
771	18701	5523
772	18723	5498
773	18746	5473
774	18770	5449
775	18795	5425
776	18817	5400
777	18840	5376
778	18862	5351
779	18885	5326
780	18909	5302
781	18931	5277
782	18952	5252
783	18975	5228
784	18998	5203
785	19019	5178
786	19042	5153
787	19067	5129
788	19091	5105
789	19115	5081
790	19138	5056
791	19163	5032
792	19185	5008
793	19208	4983
794	19232	4959
795	19255	4934
796	19279	4910
797	19304	4886
798	19326	4861
799	19350	4837
800	19373	4813
801	19398	4789
802	19425	4765
803	19452	4742
804	19478	4718
805	19505	4694
806	19526	4669
807	19553	4646
808	19574	4621
809	19596	4596
810	19619	4572
811	19644	4548
812	19667	4523
813	19688	4498
814	19714	4474
815	19738	4450
816	19762	4426
817	19785	4402
818	19810	4378
819	19836	4354
820	19861	4330
821	19883	4305
822	19906	4281
823	19930	4257
824	19952	4232
825	19974	4207
826	19998	4183
827	20022	4159
828	20045	4134
829	20068	4110
830	20089	4085
831	20111	4060
832	20133	4036
833	20156	4012
834	20177	3987
835	20199	3962
836	20221	3937
837	20244	3913
838	20267	3889
839	20292	3865
840	20318	3841
841	20343	3817
842	20368	3793
843	20391	3769
844	20415	3744
845	20439	3720
846	20464	3696
847	20487	3672
848	20512	3648
849	20536	3624
850	20562	3600
851	20589	3576
852	20615	3552
853	20641	3528
854	20667	3504
855	20694	3481
856	20722	3457
857	20744	3433
858	20766	3408
859	20788	3384
860	20813	3360
861	20841	3336
862	20875	3313
863	20899	3289
864	20922	3265
865	20948	3241
866	20971	3217
867	20994	3192
868	21018	3168
869	21044	3144
870	21070	3120
871	21094	3096
872	21120	3072
873	21144	3048
874	21166	3023
875	21188	2999
876	21213	2975
877	21238	2951
878	21260	2926
879	21282	2902
880	21307	2878
881	21331	2853
882	21354	2829
883	21377	2805
884	21399	2780
885	21424	2756
886	21447	2732
887	21469	2707
888	21491	2683
889	21515	2659
890	21540	2635
891	21562	2610
892	21585	2586
893	21608	2562
894	21631	2537
895	21653	2513
896	21682	2489
897	21707	2465
898	21732	2441
899	21759	2417
900	21784	2393
901	21808	2369
902	21835	2345
903	21862	2321
904	21889	2297
905	21916	2273
906	21939	2249
907	21963	2225
908	21986	2201
909	22011	2176
910	22033	2152
911	22058	2128
912	22081	2104
913	22109	2080
914	22131	2055
915	22154	2031
916	22182	2007
917	22204	1983
918	22228	1959
919	22251	1934
920	22274	1910
921	22297	1886
922	22321	1862
923	22344	1837
924	22369	1813
925	22393	1789
926	22416	1765
927	22440	1741
928	22470	1717
929	22497	1693
930	22523	1669
931	22546	1645
932	22568	1620
933	22592	1596
934	22615	1572
935	22639	1547
936	22662	1523
937	22685	1499
938	22708	1475
939	22733	1451
940	22756	1426
941	22781	1402
942	22804	1378
943	22827	1354
944	22851	1329
945	22874	1305
946	22898	1281
947	22924	1257
948	22952	1233
949	22979	1209
950	23004	1185
951	23028	1161
952	23054	1136
953	23079	1112
954	23104	1088
955	23127	1064
956	23149	1040
957	23172	1015
958	23197	991
959	23221	967
960	23245	943
961	23268	919
962	23290	894
963	23314	870
964	23336	846
965	23358	822
966	23382	797
967	23403	773
968	23427	749
969	23450	725
970	23476	701
971	23498	676
972	23522	652
973	23545	628
974	23567	604
975	23591	580
976	23614	555
977	23638	531
